Date,BTC,ETH,BCH,LTC,XRP,XEM,XLM,BAT,OMG,XTZ,QTUM,ENJ,DOT,ATOM,MKR,DAI,XYM,MONA,FCR,ADA,LINK,DOGE,SOL,FLR,ASTR,FIL,SAND,CHZ,NAC,AVAX
2025/01/01,14866449,527205,70585,16636,362.1145,3.799,67.093,38.125,53.13171,215.356,494.102,39.797,1115,1039,237293,157.206,2.897,44.863,0.279,144.459,3423,51.058,30482,4.34503,9.637,810.845,89.904,13.52,1958.699,5909
2025/01/02,15330847.5,544025.5,72287,16525,375.5025,3.999,67.307,38.688,52.82388,215.82,503.184,38.801,1128,1050,243842,157.608,2.949,45,0.27,151.169,3473,53.129,32580,4.37906,9.741,826.763,92.169,13.8,1980,6151
2025/01/03,15460228,566598.5,74491,17944,385.022,4.05,70.504,40.856,56.52684,225.885,541.386,41.65,1207,1158,252545,157.341,3.04,45.966,0.269,175.482,3701,59.295,33987,4.46074,10.14,888.541,100.26,14.625,1990,6521
2025/01/04,15503841,575907,75084,17470,382.8685,4.147,71.05,40.632,56.78808,223.648,541.155,40.201,1213,1152,252296,157.303,2.997,46,0.27,169.571,3737,60.909,34042,4.41186,10.3,887.917,102.878,14.496,2008.999,6676
2025/01/05,15455810.5,571782,73984,17766,377.1415,4.28,69.062,42.763,56.24254,225.626,542.138,40.601,1194,1144,246960,157.303,2.918,45.81,0.272,171.256,3667,59.972,33505,4.2574,10.328,903.639,100.608,14.441,1974.058,6665
2025/01/06,16098495,580888,75792,17929,381.6695,4.59,70.993,44.209,57.22163,229.167,564.743,41.999,1230,1185,256285,157.624,3.022,45.63,0.272,174.417,3765,61.289,34463,4.24924,10.68,949.759,111.355,15.022,1952.286,6966
2025/01/07,15250777,536084,69438,16280,359.3875,4.05,66.226,40.188,51.62896,209.587,510.017,41,1119,1085,238770,157.88,2.832,46.242,0.269,158.81,3385,55.591,32232,3.95431,9.746,853.144,99.088,13.525,1969.999,6283
2025/01/08,14923408,521057.5,68296,15894,368.2125,4.042,64.792,38.96,49.42483,206.169,482.476,40.511,1055,1012,232997,158.352,2.797,46.88,0.26,146.398,3194,53.276,30994,3.81033,9.58,799.9,91.309,12.844,1969.988,5871
2025/01/09,14558702.5,505948,65924,16117,360.589,4.14,62.042,37.994,48.16092,198.628,495.093,39.999,1034,1001,230219,158.16,2.7,45.7,0.259,142.044,3078,50.232,29274,3.60404,9.36,788.4705,91.056,12.771,1911.1,5703
2025/01/10,14975312,515209,70592,16674,372.316,4.206,66.723,40.343,50.64401,203.104,526.127,38.53,1064,1043,232453,157.907,2.825,44.968,0.263,147.26,3204,52.585,29578,3.69488,9.86,817.529,94.026,13.249,1990,5778
2025/01/11,14942433,520860.5,69707,16356,409.1865,4.21,71.532,39.902,50.14322,202.928,524.626,39.599,1071,1054,229500,157.801,2.746,44.251,0.264,155.795,3223,54.143,30020,3.97888,9.7,827.899,95.395,13.256,1975,5893
2025/01/12,14946035,517704.5,71807,16310,400.74,4.298,67.345,39.181,48.87141,199.541,503.687,39.999,1053,1021,227168,157.8,2.718,45.5,0.256,154.766,3149,53.367,29856,3.86335,9.48,806.724,92.722,12.88,1969.999,5799
2025/01/13,14784199,487688,66556,15332,395.762,3.976,65.915,37.027,46.57136,192.796,482.746,38.998,1002,984,211351,157.648,2.579,44.55,0.255,147.445,3008,52.575,28613,3.71636,9.018,774.253,86.389,12.252,1952.001,5476
2025/01/14,15274822.5,509502.5,69140.5,16056,418.7365,4.15,67.444,38.742,49.06126,200.125,503.603,38.795,1047,985,217864,157.986,2.639,45.501,0.258,157.34,3207,56.289,29558,3.8312,9.394,821.888,90.274,12.691,1926.848,5748
2025/01/15,15599839,537673.5,70223,16541,464.989,4.099,74.618,39.953,51.50862,208.2505,519.159,38.782,1094,1021,222621,156.69,2.652,46.086,0.261,165.255,3388,58.706,31727,3.96136,9.871,864.693,95.454,13.4305,1909.999,6136
2025/01/16,15598281,518113.5,72600,19792,511.055,4.099,77.2605,40.268,52.66334,213.461,528.257,38.483,1130,1042,221442,155.323,2.689,45.288,0.259,174.529,3647,59.6,33094,4.41293,9.681,889.005,97.908,13.433,1855,6223
2025/01/17,16376187.5,549457.5,77300,21398,510.8555,4.29,76.069,41.417,73.10879,221.92,550.4505,37.701,1179,1098,228911,156.335,2.751,46.29,0.259,180.691,3887,65.188,34422,4.63233,9.951,922.48,105.877,14.101,1815.622,6492
2025/01/18,16267193,510650,72329,19321,502.2085,3.99,74.2,37.865,61.68908,205.593,510.079,37.75,1078,1011,212478,156.303,2.59,46.292,0.256,165.943,3695,61.223,38802,4.86252,9.124,837.865,95.952,12.856,1693.141,6044
2025/01/19,16633378.5,528210,71719,19306,498.532,3.901,73.328,38.261,58.91437,205.539,505.442,36.95,1055,1000,211775,156.298,2.495,47.46,0.252,166.559,4105,61.388,43470,4.49159,9.106,843.458,94.556,12.903,1698.549,6026
2025/01/20,16168213,517145,67868,18677,491.278,3.7,69.84,36.451,52.65493,194.555,475.702,34.899,1003,953,201922,155.636,2.518,45.84,0.255,159.691,3972,56.543,38140,4.16694,8.55,799.9505,89.689,11.998,1679.999,5667
2025/01/21,16553659.5,516152.5,70239,18728,497.99,3.875,70.32,37.749,53.71506,190.779,486.362,37,1049,977,202259,155.563,2.338,44.99,0.249,156.841,4084,59.578,39401,4.56409,8.676,820.6705,91.543,12.193,1609.943,5771
2025/01/22,16356831.5,510209,68725,18245,504.3735,3.808,67.876,36.5305,51.78694,186.893,463.372,35.897,1018,982,197134,156.608,2.208,43.01,0.249,155.794,3968,56.244,41984,4.48301,8.5,787.873,88.522,12.039,1550,5797
2025/01/23,16148827.5,507143,67839,18051,483.8915,3.84,66.563,35.522,51.05396,180.571,453.408,36.579,982,939,194547,156.068,2.162,43,0.257,153.083,3932,54.673,39124,4.16914,8.26,783.587,85.991,11.581,1500.048,5491
2025/01/24,16375103,519706,67296,18195,484.647,3.77,67.353,35.362,51.97246,179.902,450.842,34.6,986,972,199153,155.984,2.141,44.5,0.255,151.652,3953,54.95,40111,4.15489,8.32,783.684,86.904,11.433,1528.897,5550
2025/01/25,16388996.5,520971.5,70073,19533,487.1775,3.8,65.548,35.812,50.87884,181.519,459.787,34.977,992,971,192947,155.999,2.155,43.91,0.26,153.169,3927,55.733,40258,4.07506,8.335,784.072,87.056,11.536,1505,5762
2025/01/26,16379512,519735.5,67932,19020,487.986,3.813,65.856,36.777,51.08313,180.696,462.985,34.284,1004,986,191709,156.003,2.16,44,0.253,154.393,4080,54.77,39537,4.02397,8.408,793.839,86.686,11.707,1509.999,5859
2025/01/27,15718333,487224,65490,17571,465.0455,3.536,62.079,34.835,47.6629,170.398,438.731,33.584,917,919,187508,154.597,2.097,41.4,0.254,144.109,3697,51.102,36237,3.74088,7.848,715.24,80.159,10.724,1461.003,5278
2025/01/28,15795379.5,482075,64370,17245,479.0505,3.56,61.61,32.8305,44.6862,164.499,429.439,32.999,888,896,177324,155.514,2.074,41.62,0.258,142.784,3565,49.88,35438,3.76327,7.7,690.951,78.088,10.202,1649.999,5061
2025/01/29,16215670,487895.5,64964,17750,481.754,3.593,62.189,33.737,46.57304,167.425,436.645,32.098,901,920,173442,155.376,2.052,41.997,0.256,147.725,3737,51.272,36435,3.74166,7.717,711.538,81.459,10.386,1600.021,5186
2025/01/30,16218067,499161.5,67008,19589,481.7175,3.726,66.823,34.544,46.07066,169.066,444.482,32.897,946,952,167751,154.265,2.056,41.99,0.254,148.356,3792,51.073,36830,4.16448,7.729,740.718,82.572,11.261,1690,5291
2025/01/31,15783322.5,514418,65176,19858,468.219,3.6,63.867,34.486,45.03797,169.013,516.027,33.2,966,964,177451,155.087,2.162,42,0.255,146.22,3833,50.601,35651,3.9246,7.809,742.041,81.88,11.186,1650.003,5335
2025/02/01,15747709,491393,63287,18696,454.629,3.61,62.049,33.161,42.37016,160.606,595.076,32.001,936,921,168894,155.207,2.267,45.664,0.255,141.621,3625,48.635,33900,3.6723,7.464,688.983,76.536,10.445,1170,5071
2025/02/02,15213906,458540.5,56838,17084,409.6495,3.311,56.1,29.592,38.68919,139.855,483.776,31.488,806,789,162296,155.316,2.081,42.501,0.232,125.822,3205,42.41,31508,3.3238,6.591,578.133,65.491,9.126,1010,4381
2025/02/03,15732126.5,420033,52779,16140,414.794,3.19,55.953,28.874,37.48131,140.534,465.047,30.998,780,738,148534,154.713,2.2,41.99,0.238,121.118,3282,42.897,32776,3.40826,6.244,531.892,64.774,9.356,1058.999,4250
2025/02/04,15269887.5,422647.5,51119,15621,393.42,3.04,53.264,27.903,36.80501,135.458,533.643,30.6,727,718,142194,154.246,2.176,40,0.234,115.26,3084,40.564,31826,3.26761,6.07,504.987,62.362,8.971,1048,4093
